tweet_id,sentiment,content,label,data_type
1956967666,sadness,layin n bed with a headache ughh...waitin on your call...,0,train
1956967696,sadness,funeral ceremony...gloomy friday...,0,train
1956968416,neutral,"@men we want to trade with someone who has houston tickets, but no one will.",1,train
1956968477,worry,re-pinging @men: why did not you go to prom? bc my bf did not like my friends,2,train
1956968487,sadness,"i should be sleep, but i am not! thinking about an old friend who i want. but he has married now. damn, and he wants me 2! scandalous!",0,train
1956968636,worry,hmm. -url- is down,2,train
1956969035,sadness,@men charlene my love. i miss you,0,train
1956969172,sadness,@men i am sorry at least it is friday?,0,train
1956969456,neutral,cannot fall asleep,1,train
1956969531,worry,choked on her retainers,2,train
1956970047,sadness,ugh! i have to beat this stupid song to get to the next rude!,0,train
1956970424,sadness,@men if u watch the hills in london u will realise what tourture it is because we are weeks and weeks late i just watch itonlinelol,0,train
1956971077,sadness,the storm is here and the electricity is gone,0,train
1956971170,love,@men agreed,3,train
1956971206,sadness,so sleepy again and it is not even that late. i fail once again.,0,train
1956971473,worry,@men lady gaga tweeted about not being impressed by her video leaking just so you know,2,train
1956971586,sadness,how are you convinced that i have always wanted you? what signals did i give off...damn i think i just lost another friend,0,train
1956971981,worry,@men oh too bad! i hope it gets better. i have been having sleep issues lately too,2,train
1956972116,neutral,no topic maps talks at the balisage markup conference 2009 program online at -url- (via @men) #has topicmaps,1,train
1956972270,worry,i ate something i do not know what it is... why do i keep telling things about food,2,train
1956972359,sadness,so tired and i think i am definitely going to get an ear infection. going to bed &quot;early&quot; for once.,0,train
1956972444,worry,on my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers...damn i feel old,2,train
1956972557,sadness,"@men i am sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",0,train
1956972884,worry,damm servers still down i need to hit 80 before all the koxpers pass me,2,train
1956973598,sadness,fudge... just bs'd that whole paper... so tired... ugh i hate school... time to sleep!! <-empp,0,train
1956973690,worry,i hate cancer. <-empu i hate it i hate it i hate it.,2,train
1956975441,neutral,@men i cannot sleep,1,train
1956975860,neutral,i missed the bl***y bus!! <-empp,1,train
1956975876,neutral,feels strong contractions but wants to go out. -url-,1,train
1956975927,neutral,socal! stoked. or maybe not... tomorrow,1,train
1956976187,neutral,screw you @men! i only have 3 weeks...,1,train
1956976312,sadness,"@men yeah skeptical, annoyed, undecided, uneasy or hesitant i feel all funny bebecause i have not slept enough i woke my mum up bebecause i was singing she has not impressed skeptical, annoyed, undecided, uneasy or hesitant you?",0,train
1956976371,worry,i need skott right now,2,train
1956976557,neutral,has work this afternoon,1,val
1956976681,neutral,@men aw you would not unfollow me would you? then i would cry,1,train
1956977084,happiness,mm much better day... so far! it is still quite early. last day of #has uds,4,train
1956977618,worry,just picked up her blackberry from the middle of the street! both she and it are crushed!,2,train
1956977624,worry,why do i have the feeling i should be packing and hitting for sfo around this time of the year? i think i am missing something...,2,train
1956978410,worry,"bed!! <-empp... it is time,... hope i go to school tomorrow, all though i do not feel very well right now",2,train
1956978668,worry,"@men ahh. ... well, i was hoping that i could learn some stuff on the way. ... why not you and i work on separate things but also",2,train
1956979150,sadness,i am having a problem with my photo here in twitter amf!! <-empp...can't see my face!,0,train
1956979437,neutral,"@men, oh noo! if i blow a tire you are reaally going to have to send up some batman smoke.",1,train
1956979756,neutral,wnna take a bath!! <-empp,1,train
1956979894,neutral,chocolate milk is so much better through a straw. i lack said straw,1,train
1956979900,worry,why am i so tired?,2,train
1956980788,neutral,"@men time diff and i have just been wrapped up in day to day stuff so i have not been tweeting. talk soon,must sleep...up in 6hrs",1,train
1956980883,neutral,@men no way! damn that sucks b! are you ok?,1,train
1956980972,worry,sucks not being able to take days off of work or have the money to take the trip so sad,2,train
1956981850,neutral,@men the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we shall cope,1,train
1956982075,neutral,@men but i got dibs on sulu...,1,train
1956982383,sadness,"@men aww onward and upwards now, yay! still sad to leave i bet.",0,train
1956982449,worry,@men at once haha. poor aby still gets sore!,2,train
1956982576,sadness,diesel yaris... 70mpg so sad it is not available in the us. that would be awesome.,0,train
1956982605,sadness,i want to buy this great album but unfortunately i do not hav enuff funds it is &quot;long time noisy&quot;,0,train
1956983160,sadness,@men in all honesty...pain blech.,0,train
1956983171,sadness,ok ... the passengers ... no one is alive ... they are all dead ... you just do not know it til the end ... then you cry ...,0,train
1956983467,neutral,at home alone with not much to do,1,train
1956983509,worry,@men ia so much! i have not really been happy with any of cooks choices for singles.,2,train
1956983690,sadness,@men @men i fell asleep on the beach and did not put on enough sunscreen lol,0,train
1956983851,worry,so i think my son might have the flu because i def. just cleaned up a stanky puke mess poor pumkpin,2,train
1956983874,happiness,"so great to see oin and cynthia. so happy. dinner was great, cute little place. too bad oin got sick afterwards.",4,train
1956983931,neutral,i cannot give @men any bday nudges.,1,train
1956984185,worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'him',2,train
